gen_dataset, gen_clip_model, gen_epoch, gen_clip_loss, checkpoint_path, dataset, model, baseline, attack_type, norm_type, epsilon, top1, top5
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, advclip, universal, l2, 8, 88.24, 98.58
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, my, universal, l2, 8, 14.62, 54.43
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 14.46, 54.410000000000004
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 88.24, 98.58
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 14.45, 54.37
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 88.24, 98.58
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/32, universal, l2, 8, tensor([121.2031], device='cuda:0'), tensor([153.1250], device='cuda:0')
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, tensor([22.7188], device='cuda:0'), tensor([85.2656], device='cuda:0')
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, tensor([108.5625], device='cuda:0'), tensor([145.1719], device='cuda:0')
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 0.9900000000000001, 17.98
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 14.52, 54.39000000000001
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 0.9900000000000001, 17.98
universal, gen, 75,None, /remote-home/songtianwei/research/unlearn_multimodal/output/cur_universal_gen_flickr_ViT-B-16/checkpoint_epoch_75.pth,CIFAR10, ViT-B/16, universal, l2, 8, 14.56, 54.290000000000006
